xs_name,age,s100,s104,s107,s109,s11991,s13,s14,s16,s17,s18,s188,s189,s19,s190,s20,s21,s22,s24,s25,s26,s27,s28,s29,s30991,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s45,s47,s48,s4991,s4993,s4994,s5,s52,s54,s55991,s58991,s58992,s58993,s58994,s6,s61,s62,s63,s64,s65,s66,s67,s68,s69991,s70,s71991,s73,s78,s80,s81,s83,s85,s86,s8991,s8992,s9,s90,s93,s99991,s999910,s999911,s999912,s999913,s999914,s999915,s999916,s999917,s999918,s999919,s99992,s999920,s999921,s999922,s999923,s999924,s999925,s999926,s999927,s999928,s999929,s99993,s999930,s999931,s999932,s999933,s999934,s999935,s999936,s999937,s99994,s99995,s99996,s99997,s99998,s99999,sex,s101,s102,s103,s105,s106,s108,s15,s180,s181,s23,s46991,s46992,s49991,s50991,s51991,s53,s56991,s57991,s59,s60,s7,s72,s74,s75,s76991,s77,s79,s82,s84,s87,s88,s89,s91,s92,s94,s95,s96,s97,s98,s99
cause1,-0.5668501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5832731,-0.4089789,0.0,0.0,-0.0343831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1369775,-0.6020558,2.37944,-0.277218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7724569,0.0,0.0,0.0,0.0,0.0,0.0,-0.6917508,0.4500142,0.0,-0.6647816,0.0,0.0,0.0,0.0,0.3147616,-0.392028,0.431639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7395577,4.981071,0.0,0.0,-1.299315,0.0,-0.6399982,0.0,0.0,-0.4470969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7363196,0.0,0.0,0.0,0.3340703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.569847,0.0,0.0,-0.1791568,0.0,1.240453,0.0,0.663956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4183834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1359509,0.0,0.0,0.0,0.0,0.5981917,-0.348582,0.0,-0.1836358,-0.2874246,-0.2563422,-0.3082516,0.0,-0.601129,-0.1366115,-0.2618052,-0.2123933,-0.6613538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause2,0.0,0.0,0.0,0.0,0.0,0.0,0.0574255,0.0,0.0,0.0,0.0,-0.6162626,0.0,0.0,0.0,0.0,0.8723195,0.0,0.0,5.381526,0.0,1.561506,0.0,0.0,0.0,0.0,0.0,-0.6895378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.648302,0.0,0.0,-0.83697,0.0,0.0,0.0,-1.078234,-1.021402,0.0,-0.4929271,0.0,0.0,0.0,29.88421,3.106924,6.501489,3.87249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.063912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.365005,1.465071,0.0,0.0,0.0,0.1333026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6766521,0.0,0.0,0.0,0.0,1.309445,0.0,0.0,0.0,0.8398491,0.0,0.0,0.0,0.0,1.417182,0.6971125,0.0,-0.8563735,0.0,0.0,-0.1273839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7703587,0.0,0.0,0.0,0.0
cause3,0.618892,0.0,0.0,1.302271,1.566826,0.0,0.0,0.5590394,-0.7900937,0.416727,1.002291,0.7138938,0.0,1.20593,0.0,-0.8426821,0.0,0.0,0.0,0.0,0.0,0.0,1.777676,0.4315281,0.0,0.7791532,0.8353049,-0.6809515,0.0,-2.019026,0.0,0.0,0.0,-0.4614883,0.0,0.0,1.141016,0.0,0.0,0.351698,0.0,-0.6312813,0.0,0.5862552,0.0,0.0,0.0,0.0,-0.8293332,0.7626438,-1.140609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4543918,0.0,0.4187446,0.0,-0.4062187,0.0,0.5955821,-0.5634505,0.0,0.0,0.0,0.5529031,0.8591778,0.0,0.0,0.0,0.0,0.0,-0.5881168,0.0,0.0,0.0,-0.7998943,-0.6341587,0.0,0.0,-0.4630924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9780403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.266522,0.0,0.0,0.0,-0.336044,0.0,0.0,0.0,0.0,-0.627056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5688059,1.235879,0.0,0.0,0.0,-0.1351812,-0.3028875,0.0,0.9721966,0.0,0.0,1.204698,0.0,0.0,-1.569777,0.0,0.0,1.038473,1.340212,1.146321,0.9485321,1.212002,0.6917484,0.0,0.0,0.9663659,0.7381948,0.8400466,0.0,0.0,0.0,-0.461442,2.273613,0.0,0.0,0.0
cause4,0.4331499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.540353,0.9438508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.401657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.37768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1351812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.115837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause5,0.0,0.0,0.0,0.0,0.0,0.0,2.317302,-5.289213,0.0,0.0,0.0,-0.2861062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.479178,0.0,0.0,0.0,0.0,0.7847716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.451999,0.0,-0.7030342,0.0,0.0,0.0,0.0,0.0,1.029443,0.0,0.0,0.0,0.0,0.0,0.655035,1.034511,0.0,0.0,0.0,0.0,-0.3391806,0.4365495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8205043,0.0,0.0,0.0,0.0,1.194664,0.0,0.9231606,0.0,0.0,0.0,0.0,0.0,1.075633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.278235,1.123111,0.0,0.0,0.0,1.454932,0.0,2.4923,0.0,0.0,-0.6766521,0.0,0.0,-1.085284,0.0,0.1558418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.201694,-0.8075492,0.0,0.974466,0.0,0.1273839,0.0,0.0,0.0,0.2993747,-0.4098855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cause6,-1.516833,0.0,-1.604425,-1.711532,-1.737587,-1.525457,0.0,-0.4409606,9.425328,-2.15272,-6.315644,0.0,0.0,-10.14634,0.0,9.057025,7.098688,12.14005,1.216502,1.0,0.0,0.7676643,-0.8244973,-1.546587,0.0,-0.9022766,-9.51561,0.0,0.9447606,0.0,0.0,0.9674005,0.0,0.7081699,0.5212134,1.94136,-0.1916148,0.0,0.0,-1.803776,-1.824207,1.571169,-2.721365,-1.274433,0.0,1.527851,0.0,0.0,0.0,0.0,0.3381307,-0.883999,0.0,-2.139548,0.0,0.0,0.0,-11.36626,-5.621205,-8.338445,-1.881768,-1.879179,-4.106563,-1.512122,0.0,-7.568389,-2.156421,-4.678626,-2.362915,-0.8798913,-1.174942,0.0,0.0,0.0,-1.997642,-2.71627,0.0,-1.094819,0.0,4.678662,0.0,-0.8628727,3.450615,0.0,0.0,-0.4376775,5.476625,1.26566,-1.1871,2.410418,-0.9522879,-1.729509,3.519316,-0.5205999,-1.372426,-1.624325,-0.902017,0.5240226,0.0,0.0,-0.7120654,-0.4898659,10.85758,0.0,0.0,-0.5701981,0.0,0.0,4.121848,1.99157,0.0,-0.5217278,1.792455,0.0,-1.694002,-1.450732,-1.419391,-1.651354,-0.7491934,-0.6099963,0.0,1.141341,1.181554,0.8648188,0.0,0.0,0.5165223,0.0,1.977322,-0.8933206,-1.263787,-2.836353,0.0,-0.9168358,0.5901145,-0.7585074,-0.6476668,-0.4171986,-0.4566726,-0.5965195,-0.6640359,-1.377206,-2.362686,-0.4682095,-0.4445774,-0.438022,-1.038584,-1.34733,-6.8241,-0.5821583,-0.4025217,-0.9473795,-1.01017,0.0
