gs_text34,iso3,GBD_weight,age,sex
AIDS,ZWE,0.2783211,1,0
Bite of Venomous Animal,ZWE,0.0018822,1,0
Diarrhea/Dysentery,ZWE,0.1467016,1,0
Drowning,ZWE,0.0279434,1,0
Encephalitis,ZWE,0.0011644,1,0
Falls,ZWE,0.002966,1,0
Fires,ZWE,0.0179272,1,0
Hemorrhagic fever,ZWE,0.0000847,1,0
Malaria,ZWE,0.0425025,1,0
Measles,ZWE,0.0412252,1,0
Meningitis,ZWE,0.019298,1,0
Other Cancers,ZWE,0.0031507,1,0
Other Cardiovascular Diseases,ZWE,0.0056448,1,0
Other Defined Causes of Child Deaths,ZWE,0.1640992,1,0
Other Digestive Diseases,ZWE,0.0070425,1,0
Other Infectious Diseases,ZWE,0.0531358,1,0
Pneumonia,ZWE,0.1550105,1,0
Poisonings,ZWE,0.0150535,1,0
Road Traffic,ZWE,0.0135221,1,0
Sepsis,ZWE,0.0005318,1,0
Violent Death,ZWE,0.0027927,1,0
AIDS,ZWE,0.3047819,1,1
Bite of Venomous Animal,ZWE,0.0046272,1,1
Diarrhea/Dysentery,ZWE,0.1495355,1,1
Drowning,ZWE,0.0173051,1,1
Encephalitis,ZWE,0.000893,1,1
Falls,ZWE,0.0019339,1,1
Fires,ZWE,0.0134156,1,1
Hemorrhagic fever,ZWE,0.0001078,1,1
Malaria,ZWE,0.026569,1,1
Measles,ZWE,0.0466508,1,1
Meningitis,ZWE,0.0147997,1,1
Other Cancers,ZWE,0.0023264,1,1
Other Cardiovascular Diseases,ZWE,0.0089432,1,1
Other Defined Causes of Child Deaths,ZWE,0.1570161,1,1
Other Digestive Diseases,ZWE,0.008755,1,1
Other Infectious Diseases,ZWE,0.0473879,1,1
Pneumonia,ZWE,0.1663446,1,1
Poisonings,ZWE,0.0139162,1,1
Road Traffic,ZWE,0.0111595,1,1
Sepsis,ZWE,0.000924,1,1
Violent Death,ZWE,0.0026076,1,1
AIDS,ZWE,0.5230305,10,0
Bite of Venomous Animal,ZWE,0.005021,10,0
Diarrhea/Dysentery,ZWE,0.0125827,10,0
Drowning,ZWE,0.0584471,10,0
Encephalitis,ZWE,0.0027976,10,0
Falls,ZWE,0.0047945,10,0
Fires,ZWE,0.0088409,10,0
Hemorrhagic fever,ZWE,0.0000871,10,0
Malaria,ZWE,0.0627541,10,0
Measles,ZWE,0.0068481,10,0
Meningitis,ZWE,0.0157825,10,0
Other Cancers,ZWE,0.0132856,10,0
Other Cardiovascular Diseases,ZWE,0.0264575,10,0
Other Defined Causes of Child Deaths,ZWE,0.1133158,10,0
Other Digestive Diseases,ZWE,0.0104497,10,0
Other Infectious Diseases,ZWE,0.0546429,10,0
Pneumonia,ZWE,0.0315889,10,0
Poisonings,ZWE,0.0052897,10,0
Road Traffic,ZWE,0.0363449,10,0
Sepsis,ZWE,0.0006572,10,0
Violent Death,ZWE,0.0069817,10,0
AIDS,ZWE,0.5176386,10,1
Bite of Venomous Animal,ZWE,0.0030255,10,1
Diarrhea/Dysentery,ZWE,0.0119439,10,1
Drowning,ZWE,0.0351689,10,1
Encephalitis,ZWE,0.0034322,10,1
Falls,ZWE,0.0032851,10,1
Fires,ZWE,0.0069982,10,1
Hemorrhagic fever,ZWE,0.0000771,10,1
Malaria,ZWE,0.0756648,10,1
Measles,ZWE,0.007854,10,1
Meningitis,ZWE,0.0193623,10,1
Other Cancers,ZWE,0.0116913,10,1
Other Cardiovascular Diseases,ZWE,0.0434515,10,1
Other Defined Causes of Child Deaths,ZWE,0.1088485,10,1
Other Digestive Diseases,ZWE,0.0100633,10,1
Other Infectious Diseases,ZWE,0.0543665,10,1
Pneumonia,ZWE,0.0419995,10,1
Poisonings,ZWE,0.005361,10,1
Road Traffic,ZWE,0.0346102,10,1
Sepsis,ZWE,0.0007024,10,1
Violent Death,ZWE,0.0044552,10,1
AIDS,ZWE,0.0728029,0,0
Bite of Venomous Animal,ZWE,0.0003655,0,0
Diarrhea/Dysentery,ZWE,0.1914361,0,0
Drowning,ZWE,0.0025274,0,0
Encephalitis,ZWE,0.0017735,0,0
Falls,ZWE,0.0011984,0,0
Fires,ZWE,0.0094289,0,0
Hemorrhagic fever,ZWE,0.0000591,0,0
Malaria,ZWE,0.0203271,0,0
Measles,ZWE,0.018811,0,0
Meningitis,ZWE,0.0334323,0,0
Other Cancers,ZWE,0.0014875,0,0
Other Cardiovascular Diseases,ZWE,0.0039364,0,0
Other Defined Causes of Child Deaths,ZWE,0.2151508,0,0
Other Digestive Diseases,ZWE,0,0,0
Other Infectious Diseases,ZWE,0.0454697,0,0
Pneumonia,ZWE,0.3681327,0,0
Poisonings,ZWE,0.0084998,0,0
Road Traffic,ZWE,0.0029243,0,0
Sepsis,ZWE,0.000876,0,0
Violent Death,ZWE,0.0013604,0,0
AIDS,ZWE,0.0914689,0,1
Bite of Venomous Animal,ZWE,0.0005803,0,1
Diarrhea/Dysentery,ZWE,0.1714741,0,1
Drowning,ZWE,0.0014472,0,1
Encephalitis,ZWE,0.0015409,0,1
Falls,ZWE,0.0012337,0,1
Fires,ZWE,0.0066613,0,1
Hemorrhagic fever,ZWE,0.0000466,0,1
Malaria,ZWE,0.0136167,0,1
Measles,ZWE,0.0222653,0,1
Meningitis,ZWE,0.0290474,0,1
Other Cancers,ZWE,0.0013902,0,1
Other Cardiovascular Diseases,ZWE,0.0067385,0,1
Other Defined Causes of Child Deaths,ZWE,0.2049845,0,1
Other Digestive Diseases,ZWE,0,0,1
Other Infectious Diseases,ZWE,0.0476613,0,1
Pneumonia,ZWE,0.3865389,0,1
Poisonings,ZWE,0.0077561,0,1
Road Traffic,ZWE,0.0033767,0,1
Sepsis,ZWE,0.0009608,0,1
Violent Death,ZWE,0.0012107,0,1
AIDS,ZWE,0.5126494,5,0
Bite of Venomous Animal,ZWE,0.0058468,5,0
