gs_text34,iso3,GBD_weight,age,sex
Diarrhea/Dysentery,ZWE,0.0201447,5,0
Drowning,ZWE,0.0633379,5,0
Encephalitis,ZWE,0.0015932,5,0
Falls,ZWE,0.0035862,5,0
Fires,ZWE,0.0108909,5,0
Hemorrhagic fever,ZWE,0.0001139,5,0
Malaria,ZWE,0.0734942,5,0
Measles,ZWE,0.0207643,5,0
Meningitis,ZWE,0.0156117,5,0
Other Cancers,ZWE,0.0121299,5,0
Other Cardiovascular Diseases,ZWE,0.0150484,5,0
Other Defined Causes of Child Deaths,ZWE,0.0911607,5,0
Other Digestive Diseases,ZWE,0.0055092,5,0
Other Infectious Diseases,ZWE,0.0657915,5,0
Pneumonia,ZWE,0.0364166,5,0
Poisonings,ZWE,0.0038098,5,0
Road Traffic,ZWE,0.03838,5,0
Sepsis,ZWE,0.0004652,5,0
Violent Death,ZWE,0.0032557,5,0
AIDS,ZWE,0.4983663,5,1
Bite of Venomous Animal,ZWE,0.0067518,5,1
Diarrhea/Dysentery,ZWE,0.026022,5,1
Drowning,ZWE,0.027607,5,1
Encephalitis,ZWE,0.0022605,5,1
Falls,ZWE,0.0031656,5,1
Fires,ZWE,0.0155201,5,1
Hemorrhagic fever,ZWE,0.0001371,5,1
Malaria,ZWE,0.0938918,5,1
Measles,ZWE,0.0247815,5,1
Meningitis,ZWE,0.0221508,5,1
Other Cancers,ZWE,0.011004,5,1
Other Cardiovascular Diseases,ZWE,0.0250893,5,1
Other Defined Causes of Child Deaths,ZWE,0.0861775,5,1
Other Digestive Diseases,ZWE,0.005617,5,1
Other Infectious Diseases,ZWE,0.0652991,5,1
Pneumonia,ZWE,0.0425173,5,1
Poisonings,ZWE,0.0035608,5,1
Road Traffic,ZWE,0.0358684,5,1
Sepsis,ZWE,0.0007978,5,1
Violent Death,ZWE,0.0034142,5,1
AIDS,ZMB,0.1757151,1,0
Bite of Venomous Animal,ZMB,0.0015411,1,0
Diarrhea/Dysentery,ZMB,0.0745239,1,0
Drowning,ZMB,0.0222868,1,0
Encephalitis,ZMB,0.0039135,1,0
Falls,ZMB,0.0116231,1,0
Fires,ZMB,0.0370754,1,0
Hemorrhagic fever,ZMB,0.0002653,1,0
Malaria,ZMB,0.2435977,1,0
Measles,ZMB,0.0111561,1,0
Meningitis,ZMB,0.0664024,1,0
Other Cancers,ZMB,0.0026358,1,0
Other Cardiovascular Diseases,ZMB,0.0038885,1,0
Other Defined Causes of Child Deaths,ZMB,0.1558678,1,0
Other Digestive Diseases,ZMB,0.0065684,1,0
Other Infectious Diseases,ZMB,0.0652294,1,0
Pneumonia,ZMB,0.0872757,1,0
Poisonings,ZMB,0.0132329,1,0
Road Traffic,ZMB,0.0112317,1,0
Sepsis,ZMB,0.0028319,1,0
Violent Death,ZMB,0.0031374,1,0
AIDS,ZMB,0.1997182,1,1
Bite of Venomous Animal,ZMB,0.003392,1,1
Diarrhea/Dysentery,ZMB,0.0843089,1,1
Drowning,ZMB,0.0094072,1,1
Encephalitis,ZMB,0.003499,1,1
Falls,ZMB,0.0052871,1,1
Fires,ZMB,0.0229837,1,1
Hemorrhagic fever,ZMB,0.000205,1,1
Malaria,ZMB,0.2574242,1,1
Measles,ZMB,0.013136,1,1
Meningitis,ZMB,0.0593689,1,1
Other Cancers,ZMB,0.0024744,1,1
Other Cardiovascular Diseases,ZMB,0.0042212,1,1
Other Defined Causes of Child Deaths,ZMB,0.1480217,1,1
Other Digestive Diseases,ZMB,0.0054307,1,1
Other Infectious Diseases,ZMB,0.0586503,1,1
Pneumonia,ZMB,0.0972617,1,1
Poisonings,ZMB,0.007004,1,1
Road Traffic,ZMB,0.0127216,1,1
Sepsis,ZMB,0.0025169,1,1
Violent Death,ZMB,0.0029672,1,1
AIDS,ZMB,0.5085893,10,0
Bite of Venomous Animal,ZMB,0.0064349,10,0
Diarrhea/Dysentery,ZMB,0.0182026,10,0
Drowning,ZMB,0.0332922,10,0
Encephalitis,ZMB,0.0025543,10,0
Falls,ZMB,0.0140669,10,0
Fires,ZMB,0.0113731,10,0
Hemorrhagic fever,ZMB,0.0002635,10,0
Malaria,ZMB,0.1361997,10,0
Measles,ZMB,0.0025376,10,0
Meningitis,ZMB,0.0228162,10,0
Other Cancers,ZMB,0.0180153,10,0
Other Cardiovascular Diseases,ZMB,0.0047285,10,0
Other Defined Causes of Child Deaths,ZMB,0.0959093,10,0
Other Digestive Diseases,ZMB,0.0035122,10,0
Other Infectious Diseases,ZMB,0.0552094,10,0
Pneumonia,ZMB,0.0195083,10,0
Poisonings,ZMB,0.0053233,10,0
Road Traffic,ZMB,0.0330957,10,0
Sepsis,ZMB,0.0014613,10,0
Violent Death,ZMB,0.0069066,10,0
AIDS,ZMB,0.5279323,10,1
Bite of Venomous Animal,ZMB,0.0044414,10,1
Diarrhea/Dysentery,ZMB,0.0109352,10,1
Drowning,ZMB,0.0110131,10,1
Encephalitis,ZMB,0.0033178,10,1
Falls,ZMB,0.0042457,10,1
Fires,ZMB,0.0080547,10,1
Hemorrhagic fever,ZMB,0.0001671,10,1
Malaria,ZMB,0.1764488,10,1
Measles,ZMB,0.003035,10,1
Meningitis,ZMB,0.029637,10,1
Other Cancers,ZMB,0.0117371,10,1
Other Cardiovascular Diseases,ZMB,0.0068745,10,1
Other Defined Causes of Child Deaths,ZMB,0.0835592,10,1
Other Digestive Diseases,ZMB,0.0031324,10,1
Other Infectious Diseases,ZMB,0.0538811,10,1
Pneumonia,ZMB,0.0147859,10,1
Poisonings,ZMB,0.0056074,10,1
Road Traffic,ZMB,0.0334106,10,1
Sepsis,ZMB,0.0008737,10,1
Violent Death,ZMB,0.0069099,10,1
AIDS,ZMB,0.0600986,0,0
Bite of Venomous Animal,ZMB,0.0006183,0,0
Diarrhea/Dysentery,ZMB,0.154778,0,0
Drowning,ZMB,0.0041466,0,0
Encephalitis,ZMB,0.005324,0,0
Falls,ZMB,0.0047619,0,0
Fires,ZMB,0.0110945,0,0
Hemorrhagic fever,ZMB,0.0001737,0,0
Malaria,ZMB,0.1373911,0,0
Measles,ZMB,0.0067148,0,0
Meningitis,ZMB,0.0967483,0,0
Other Cancers,ZMB,0.001704,0,0
Other Cardiovascular Diseases,ZMB,0.0030882,0,0
Other Defined Causes of Child Deaths,ZMB,0.205549,0,0
Other Digestive Diseases,ZMB,0,0,0
Other Infectious Diseases,ZMB,0.1128334,0,0
Pneumonia,ZMB,0.1778881,0,0
Poisonings,ZMB,0.0061447,0,0
Road Traffic,ZMB,0.0038076,0,0
Sepsis,ZMB,0.0057511,0,0
Violent Death,ZMB,0.001384,0,0
AIDS,ZMB,0.0639278,0,1
Bite of Venomous Animal,ZMB,0.001213,0,1
Diarrhea/Dysentery,ZMB,0.1496192,0,1
Drowning,ZMB,0.002128,0,1
Encephalitis,ZMB,0.0049453,0,1
Falls,ZMB,0.0023196,0,1
Fires,ZMB,0.0078,0,1
Hemorrhagic fever,ZMB,0.0000911,0,1
Malaria,ZMB,0.1358171,0,1
Measles,ZMB,0.0066771,0,1
Meningitis,ZMB,0.0898679,0,1
Other Cancers,ZMB,0.002566,0,1
Other Cardiovascular Diseases,ZMB,0.0037163,0,1
Other Defined Causes of Child Deaths,ZMB,0.2157907,0,1
Other Digestive Diseases,ZMB,0,0,1
Other Infectious Diseases,ZMB,0.1105153,0,1
Pneumonia,ZMB,0.1908168,0,1
Poisonings,ZMB,0.0028309,0,1
Road Traffic,ZMB,0.0050978,0,1
Sepsis,ZMB,0.0030883,0,1
Violent Death,ZMB,0.001172,0,1
AIDS,ZMB,0.4271565,5,0
Bite of Venomous Animal,ZMB,0.0072621,5,0
Diarrhea/Dysentery,ZMB,0.0348647,5,0
Drowning,ZMB,0.030072,5,0
Encephalitis,ZMB,0.0023799,5,0
Falls,ZMB,0.0084519,5,0
Fires,ZMB,0.0169184,5,0
Hemorrhagic fever,ZMB,0.0004347,5,0
Malaria,ZMB,0.1620446,5,0
Measles,ZMB,0.0076769,5,0
Meningitis,ZMB,0.0299459,5,0
Other Cancers,ZMB,0.0150964,5,0
Other Cardiovascular Diseases,ZMB,0.0037376,5,0
Other Defined Causes of Child Deaths,ZMB,0.0968771,5,0
Other Digestive Diseases,ZMB,0.0035888,5,0
Other Infectious Diseases,ZMB,0.0757928,5,0
Pneumonia,ZMB,0.0270044,5,0
Poisonings,ZMB,0.0044646,5,0
Road Traffic,ZMB,0.0415033,5,0
Sepsis,ZMB,0.0013336,5,0
Violent Death,ZMB,0.0033938,5,0
AIDS,ZMB,0.4604089,5,1
Bite of Venomous Animal,ZMB,0.0034498,5,1
Diarrhea/Dysentery,ZMB,0.0189911,5,1
Drowning,ZMB,0.0099226,5,1
Encephalitis,ZMB,0.0026981,5,1
Falls,ZMB,0.0040679,5,1
Fires,ZMB,0.0101182,5,1
Hemorrhagic fever,ZMB,0.0003003,5,1
Malaria,ZMB,0.2133513,5,1
Measles,ZMB,0.0090826,5,1
Meningitis,ZMB,0.03395,5,1
Other Cancers,ZMB,0.0127963,5,1
Other Cardiovascular Diseases,ZMB,0.0044628,5,1
Other Defined Causes of Child Deaths,ZMB,0.0794023,5,1
Other Digestive Diseases,ZMB,0.003392,5,1
Other Infectious Diseases,ZMB,0.0737253,5,1
Pneumonia,ZMB,0.0158273,5,1
Poisonings,ZMB,0.0041515,5,1
Road Traffic,ZMB,0.035247,5,1
Sepsis,ZMB,0.000837,5,1
Violent Death,ZMB,0.0038176,5,1
AIDS,ZAF,0.5454614,1,0
Bite of Venomous Animal,ZAF,0.0005058,1,0
Diarrhea/Dysentery,ZAF,0.1428995,1,0
Drowning,ZAF,0.0173361,1,0
Encephalitis,ZAF,0.0008,1,0
Falls,ZAF,0.0003939,1,0
Fires,ZAF,0.0170088,1,0
Hemorrhagic fever,ZAF,0.0000745,1,0
Malaria,ZAF,0.0005006,1,0
Measles,ZAF,0.0233827,1,0
Meningitis,ZAF,0.0132589,1,0
Other Cancers,ZAF,0.0071131,1,0
Other Cardiovascular Diseases,ZAF,0.0076073,1,0
Other Defined Causes of Child Deaths,ZAF,0.0888875,1,0
Other Digestive Diseases,ZAF,0.0046657,1,0
Other Infectious Diseases,ZAF,0.0464194,1,0
Pneumonia,ZAF,0.0638367,1,0
Poisonings,ZAF,0.0031819,1,0
Road Traffic,ZAF,0.0079923,1,0
Sepsis,ZAF,0.0005072,1,0
Violent Death,ZAF,0.0081668,1,0
AIDS,ZAF,0.5375073,1,1
Bite of Venomous Animal,ZAF,0.0009091,1,1
Diarrhea/Dysentery,ZAF,0.1680686,1,1
Drowning,ZAF,0.0107614,1,1
Encephalitis,ZAF,0.000835,1,1
Falls,ZAF,0.0001985,1,1
Fires,ZAF,0.0153389,1,1
Hemorrhagic fever,ZAF,0.0003052,1,1
Malaria,ZAF,0.0002947,1,1
Measles,ZAF,0.0293604,1,1
Meningitis,ZAF,0.0138394,1,1
Other Cancers,ZAF,0.0081415,1,1
Other Cardiovascular Diseases,ZAF,0.008728,1,1
Other Defined Causes of Child Deaths,ZAF,0.0732886,1,1
Other Digestive Diseases,ZAF,0.0048571,1,1
Other Infectious Diseases,ZAF,0.0460055,1,1
Pneumonia,ZAF,0.0649555,1,1
Poisonings,ZAF,0.002939,1,1
Road Traffic,ZAF,0.0058159,1,1
Sepsis,ZAF,0.0006713,1,1
Violent Death,ZAF,0.0071789,1,1
AIDS,ZAF,0.5463687,10,0
Bite of Venomous Animal,ZAF,0.0009746,10,0
Diarrhea/Dysentery,ZAF,0.0320635,10,0
Drowning,ZAF,0.0465459,10,0
Encephalitis,ZAF,0.0027458,10,0
Falls,ZAF,0.0015739,10,0
Fires,ZAF,0.0113332,10,0
Hemorrhagic fever,ZAF,0.0000939,10,0
Malaria,ZAF,0.0016597,10,0
Measles,ZAF,0.0037199,10,0
Meningitis,ZAF,0.0154902,10,0
Other Cancers,ZAF,0.0158026,10,0
Other Cardiovascular Diseases,ZAF,0.0166741,10,0
Other Defined Causes of Child Deaths,ZAF,0.1345664,10,0
Other Digestive Diseases,ZAF,0.0049401,10,0
Other Infectious Diseases,ZAF,0.075752,10,0
Pneumonia,ZAF,0.0279732,10,0
Poisonings,ZAF,0.0012407,10,0
Road Traffic,ZAF,0.029497,10,0
Sepsis,ZAF,0.0006347,10,0
Violent Death,ZAF,0.0303499,10,0
AIDS,ZAF,0.525299,10,1
Bite of Venomous Animal,ZAF,0.0008243,10,1
Diarrhea/Dysentery,ZAF,0.0460913,10,1
Drowning,ZAF,0.0248693,10,1
Encephalitis,ZAF,0.0036774,10,1
Falls,ZAF,0.0007799,10,1
Fires,ZAF,0.014561,10,1
Hemorrhagic fever,ZAF,0.0002784,10,1
Malaria,ZAF,0.002842,10,1
Measles,ZAF,0.0048948,10,1
Meningitis,ZAF,0.0207456,10,1
Other Cancers,ZAF,0.0209574,10,1
Other Cardiovascular Diseases,ZAF,0.0302976,10,1
Other Defined Causes of Child Deaths,ZAF,0.1349751,10,1
Other Digestive Diseases,ZAF,0.0059443,10,1
Other Infectious Diseases,ZAF,0.0814859,10,1
Pneumonia,ZAF,0.0338857,10,1
Poisonings,ZAF,0.0018871,10,1
Road Traffic,ZAF,0.0249692,10,1
Sepsis,ZAF,0.0007346,10,1
Violent Death,ZAF,0.0199999,10,1
AIDS,ZAF,0.1355711,0,0
Bite of Venomous Animal,ZAF,0.0002227,0,0
Diarrhea/Dysentery,ZAF,0.3647178,0,0
Drowning,ZAF,0.0015084,0,0
Encephalitis,ZAF,0.0011899,0,0
Falls,ZAF,0.0002197,0,0
Fires,ZAF,0.00711,0,0
Hemorrhagic fever,ZAF,0.0000325,0,0
Malaria,ZAF,0.0002237,0,0
Measles,ZAF,0.0100095,0,0
Meningitis,ZAF,0.0224308,0,0
Other Cancers,ZAF,0.0013552,0,0
Other Cardiovascular Diseases,ZAF,0.0072391,0,0
Other Defined Causes of Child Deaths,ZAF,0.2041041,0,0
Other Digestive Diseases,ZAF,0,0,0
Other Infectious Diseases,ZAF,0.0470462,0,0
Pneumonia,ZAF,0.1877303,0,0
Poisonings,ZAF,0.0006997,0,0
Road Traffic,ZAF,0.0019068,0,0
Sepsis,ZAF,0.0007844,0,0
Violent Death,ZAF,0.005898,0,0
AIDS,ZAF,0.1617938,0,1
Bite of Venomous Animal,ZAF,0.0003916,0,1
Diarrhea/Dysentery,ZAF,0.3843391,0,1
Drowning,ZAF,0.0012567,0,1
Encephalitis,ZAF,0.0012272,0,1
Falls,ZAF,0.0001559,0,1
Fires,ZAF,0.0056901,0,1
Hemorrhagic fever,ZAF,0.0000487,0,1
Malaria,ZAF,0.0001188,0,1
Measles,ZAF,0.0111417,0,1
Meningitis,ZAF,0.0231339,0,1
Other Cancers,ZAF,0.001536,0,1
Other Cardiovascular Diseases,ZAF,0.0072227,0,1
Other Defined Causes of Child Deaths,ZAF,0.172497,0,1
Other Digestive Diseases,ZAF,0,0,1
Other Infectious Diseases,ZAF,0.0471477,0,1
Pneumonia,ZAF,0.1738307,0,1
Poisonings,ZAF,0.0005447,0,1
Road Traffic,ZAF,0.0015856,0,1
Sepsis,ZAF,0.00083,0,1
Violent Death,ZAF,0.0055081,0,1
AIDS,ZAF,0.5589702,5,0
Bite of Venomous Animal,ZAF,0.0016177,5,0
Diarrhea/Dysentery,ZAF,0.0583146,5,0
Drowning,ZAF,0.0472765,5,0
Encephalitis,ZAF,0.0017581,5,0
Falls,ZAF,0.0007706,5,0
Fires,ZAF,0.0136648,5,0
Hemorrhagic fever,ZAF,0.0001324,5,0
Malaria,ZAF,0.0017832,5,0
Measles,ZAF,0.0117311,5,0
Meningitis,ZAF,0.0172275,5,0
Other Cancers,ZAF,0.0129989,5,0
Other Cardiovascular Diseases,ZAF,0.0126207,5,0
Other Defined Causes of Child Deaths,ZAF,0.0969471,5,0
Other Digestive Diseases,ZAF,0.0042769,5,0
Other Infectious Diseases,ZAF,0.086663,5,0
Pneumonia,ZAF,0.031426,5,0
Poisonings,ZAF,0.001237,5,0
Road Traffic,ZAF,0.0294182,5,0
Sepsis,ZAF,0.000379,5,0
Violent Death,ZAF,0.0107862,5,0
AIDS,ZAF,0.5346531,5,1
Bite of Venomous Animal,ZAF,0.0016421,5,1
Diarrhea/Dysentery,ZAF,0.0824171,5,1
Drowning,ZAF,0.0197648,5,1
Encephalitis,ZAF,0.002407,5,1
Falls,ZAF,0.0006515,5,1
Fires,ZAF,0.0170621,5,1
Hemorrhagic fever,ZAF,0.0005102,5,1
Malaria,ZAF,0.0030643,5,1
Measles,ZAF,0.01484,5,1
Meningitis,ZAF,0.0235865,5,1
Other Cancers,ZAF,0.0176491,5,1
Other Cardiovascular Diseases,ZAF,0.0176541,5,1
Other Defined Causes of Child Deaths,ZAF,0.0931359,5,1
Other Digestive Diseases,ZAF,0.0053314,5,1
Other Infectious Diseases,ZAF,0.0867481,5,1
Pneumonia,ZAF,0.0381261,5,1
Poisonings,ZAF,0.0012131,5,1
Road Traffic,ZAF,0.0245527,5,1
Sepsis,ZAF,0.0007322,5,1
Violent Death,ZAF,0.0142586,5,1
AIDS,YEM,0.0012216,1,0
Bite of Venomous Animal,YEM,0.0022573,1,0
Diarrhea/Dysentery,YEM,0.1900478,1,0
Drowning,YEM,0.0307438,1,0
Encephalitis,YEM,0.0084743,1,0
Falls,YEM,0.0135795,1,0
Fires,YEM,0.0151179,1,0
Hemorrhagic fever,YEM,0.0007913,1,0
Malaria,YEM,0.1126167,1,0
Measles,YEM,0.0035531,1,0
Meningitis,YEM,0.0278878,1,0
Other Cancers,YEM,0.0147959,1,0
Other Cardiovascular Diseases,YEM,0.0573475,1,0
Other Defined Causes of Child Deaths,YEM,0.2570703,1,0
Other Digestive Diseases,YEM,0.0178596,1,0
Other Infectious Diseases,YEM,0.0422367,1,0
Pneumonia,YEM,0.1323595,1,0
Poisonings,YEM,0.0148186,1,0
Road Traffic,YEM,0.0531659,1,0
Sepsis,YEM,0.0016173,1,0
Violent Death,YEM,0.0024377,1,0
AIDS,YEM,0.0011766,1,1
Bite of Venomous Animal,YEM,0.0036191,1,1
Diarrhea/Dysentery,YEM,0.1765397,1,1
Drowning,YEM,0.0161288,1,1
Encephalitis,YEM,0.0082352,1,1
Falls,YEM,0.0084637,1,1
Fires,YEM,0.0171823,1,1
Hemorrhagic fever,YEM,0.0001822,1,1
Malaria,YEM,0.14726,1,1
Measles,YEM,0.0036063,1,1
Meningitis,YEM,0.0271013,1,1
Other Cancers,YEM,0.0134967,1,1
Other Cardiovascular Diseases,YEM,0.0688152,1,1
Other Defined Causes of Child Deaths,YEM,0.2753907,1,1
Other Digestive Diseases,YEM,0.0138808,1,1
Other Infectious Diseases,YEM,0.0396881,1,1
Pneumonia,YEM,0.1239467,1,1
Poisonings,YEM,0.013523,1,1
Road Traffic,YEM,0.0386362,1,1
Sepsis,YEM,0.0013746,1,1
Violent Death,YEM,0.0017529,1,1
AIDS,YEM,0.0013565,10,0
Bite of Venomous Animal,YEM,0.004463,10,0
Diarrhea/Dysentery,YEM,0.0180158,10,0
Drowning,YEM,0.038628,10,0
Encephalitis,YEM,0.0049526,10,0
Falls,YEM,0.0115526,10,0
Fires,YEM,0.0098208,10,0
Hemorrhagic fever,YEM,0.0005482,10,0
Malaria,YEM,0.0821506,10,0
Measles,YEM,0.0005612,10,0
Meningitis,YEM,0.0205019,10,0
Other Cancers,YEM,0.0510417,10,0
Other Cardiovascular Diseases,YEM,0.0813301,10,0
Other Defined Causes of Child Deaths,YEM,0.189496,10,0
Other Digestive Diseases,YEM,0.0183408,10,0
Other Infectious Diseases,YEM,0.0531504,10,0
Pneumonia,YEM,0.2892222,10,0
Poisonings,YEM,0.0129497,10,0
Road Traffic,YEM,0.1042345,10,0
Sepsis,YEM,0.0012311,10,0
Violent Death,YEM,0.0064524,10,0
AIDS,YEM,0.0011069,10,1
Bite of Venomous Animal,YEM,0.0034507,10,1
Diarrhea/Dysentery,YEM,0.0161739,10,1
Drowning,YEM,0.0140415,10,1
Encephalitis,YEM,0.0054143,10,1
Falls,YEM,0.0046594,10,1
Fires,YEM,0.012,10,1
Hemorrhagic fever,YEM,0.0001951,10,1
Malaria,YEM,0.0605367,10,1
Measles,YEM,0.0005361,10,1
Meningitis,YEM,0.0224131,10,1
Other Cancers,YEM,0.0431304,10,1
Other Cardiovascular Diseases,YEM,0.0935062,10,1
Other Defined Causes of Child Deaths,YEM,0.1935485,10,1
Other Digestive Diseases,YEM,0.0121902,10,1
Other Infectious Diseases,YEM,0.0420835,10,1
Pneumonia,YEM,0.4063753,10,1
Poisonings,YEM,0.0141918,10,1
Road Traffic,YEM,0.0488799,10,1
Sepsis,YEM,0.0026369,10,1
Violent Death,YEM,0.0029296,10,1
AIDS,YEM,0.0001191,0,0
Bite of Venomous Animal,YEM,0.0003871,0,0
Diarrhea/Dysentery,YEM,0.3777731,0,0
Drowning,YEM,0.0017225,0,0
Encephalitis,YEM,0.0075801,0,0
Falls,YEM,0.0024304,0,0
Fires,YEM,0.0026929,0,0
Hemorrhagic fever,YEM,0.0001976,0,0
Malaria,YEM,0.0237781,0,0
Measles,YEM,0.0006097,0,0
Meningitis,YEM,0.024283,0,0
Other Cancers,YEM,0.0027078,0,0
Other Cardiovascular Diseases,YEM,0.0403066,0,0
Other Defined Causes of Child Deaths,YEM,0.3319944,0,0
Other Digestive Diseases,YEM,0,0,0
Other Infectious Diseases,YEM,0.0431688,0,0
Pneumonia,YEM,0.128364,0,0
Poisonings,YEM,0.0024312,0,0
Road Traffic,YEM,0.0059773,0,0
Sepsis,YEM,0.0025543,0,0
Violent Death,YEM,0.000922,0,0
AIDS,YEM,0.0001327,0,1
Bite of Venomous Animal,YEM,0.0005224,0,1
Diarrhea/Dysentery,YEM,0.3515675,0,1
Drowning,YEM,0.0010401,0,1
Encephalitis,YEM,0.0083309,0,1
Falls,YEM,0.0016144,0,1
Fires,YEM,0.0036002,0,1
Hemorrhagic fever,YEM,0.0000677,0,1
