xs_name,age,s110,s111,s112,s113991,s114991,s115,s116991,s117,s118,s119,s11991,s120,s121,s122,s123,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135991,s136,s137,s138,s13991,s139991,s14,s141991,s142,s143,s144,s145,s146,s147,s148,s149,s150,s151,s152,s153,s154,s155,s156,s157,s158,s159,s160,s161,s162,s163,s164,s165,s16991,s17,s18,s180,s181,s188,s189,s19,s190,s28,s29,s2991,s2992,s2993,s2994,s2995,s30991,s31,s5991,s6991,s7,s8991,s8992,s9,s99991,s999910,s999911,s999912,s999913,s999914,s999915,s999916,s999917,s999918,s999919,s99992,s999920,s999921,s999922,s999923,s999924,s999925,s999926,s999927,s999928,s999929,s99993,s999930,s999931,s999932,s999933,s999934,s999935,s999936,s999937,s999938,s999939,s99994,s999940,s999941,s999942,s999943,s999944,s999945,s999946,s999947,s999948,s99995,s99996,s99997,s99998,s99999,sex
cause11,-0.7342486,0.2412935,0.434765,0,0,0,0,0.9895526,0,0,0,0,0,0,0,0,0,0.6954798,0.7198417,0,0,0.715295,0,0,0,2.319987,2.450102,3.100356,1.589105,2.82691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7038913,0.3925782,0,0,0,0,0,0,0,0,0.772866,1.177168,0,0,-1.402401,0,0,0,0,0,0,0,0,0,0,0,1.853693,0,0,0,0,0,0,0,0,0,0,2.953399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.106693,0.6262221,0,0
cause12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.485057,1.918449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.134498,0,0,0,0,1.715529,1.275374,0,0,0,2.175256,0,0,0,0,0,0,0,0,0,1.167189,0,0,0,0,0,0,0,0,0,0,0,1.344845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.266313,0,0,0,0,0,0.9067724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.588683,3.699481,0,0,0,2.754258,0,0,0,29.85689,0
cause13,-0.922116,0,0,0,0,0,0,0,0,0,0,-0.9503201,0,0.8885662,1.175696,0,0,0.6482244,0.7151336,0,0,0,0,0,0,0,0,-0.7134846,0,0,0,1.633597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7437181,0,0,0,0,0,0,1.020729,0,0,0,-0.8035025,0.7524204,1.828231,0,0,-1.056114,0,0,-0.729399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.084168,11.92082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5312567,1.136006,0,0
cause14,-0.4813983,-0.4514284,0,-0.3689238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5120072,0.8059449,0.5369783,0,0,0,0,0.8769456,0,1.446211,0,0,0,0,0,0.6264909,0.7181683,0.8418629,1.323657,0,0.5219513,0,2.103093,0,0,0,0,2.845361,0,0,0,0,0,6.845361,0,0.3148275,0,0,-2.851847,-2.427869,0,0,0,0,-2.413929,0,0,0,1.039783,0,0,0,0,0.4327232,0,0,0,0,0,0,0,1.608237,0,0,0,0,0,0,0,0,1.099101,0,0,0,0,0,0,0,1.371105,0.8030636,3.855637,0,0.5803109,0,0,0,0,0,0,0,0,0,0,0,0,1.158254,0,0.8737067,0,0,0,0,0,0,0,0,0.5202917,0,0,0
cause15,-0.7689216,0,0,0,0,0,0,0,0,0,0,0,2.231292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.945855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.198017,0,0,-2.815564,-2.864367,0,0,0,0,-2.442709,0,0,0,1.32735,0,0,-0.8649213,0,0,0,0,0,0,0,0,0,10.83319,-0.9376934,0,0,0,0,0,0,0,-0.6979573,0,0,0,0,-1.084168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.447206,0,0,0,3.345175,3.422444,0,0.7827447,0,0,0,0,0,0,0
cause16,0,0,0,0,0,0.7447706,0,0,0,0,0,0,0,0.7746097,1.404022,1.761789,0,0,0,0.6459369,0.8864,0,0,1.135367,0,0,1.675095,1.753006,0,0,0,0,0,0,0,0,0,0,0.9211087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.356926,0.8900839,0,0,0,0,0,0,0.8746567,0,0,0,0,0,0,0,0,0,1.177799,0,0,0,0,0,0,0.938104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.744471,0,0,0,0,0,0,0,0,0,0,0,0,2.576869,1.975145,2.721871,0.656274,0,0.9124619,0,0,0,0,0
cause17,-1.165635,0,0,0.3302158,0.4549014,0,0,0,0,0,0,0,0,1.544707,1.732761,1.655639,0.9226974,0.7768748,0.7541409,0.7088554,0.9229906,0.9283528,0.5617659,0.9424208,1.32717,0.3080568,0,0,0,0.4718413,0,1.408888,0.9724326,0,0,0,0,0,0,0,0,0,0,0,1.054511,0.636816,-0.4809445,0,0,0.7781955,0,0,0,0,0,0,0,0.792393,0,0,0,0,1.526315,2.180449,1.154687,2.165414,0,2.075188,-0.7121888,0,1.660448,0.8398505,0,-0.9390571,-1.587568,0,-0.6088251,0,0,0,0,0,0,0.6842077,0,1.822186,0.5421581,1.468847,2.42856,0,0.7210559,0,0,0.3543484,0,0,0,0,2.960451,0,1.785682,0,0.8947369,0,1.853113,5.53347,0,26.316,0,3.442272,0,0,0.5413526,0,31.955,0,0,1.261095,0,0.8461265,0,0,0.549815,0,0,5.774705,0,0,0,0.5148404,0,0
cause18,0,0,-0.7960187,0,0,0,0,0,-0.7612039,-0.7028986,-0.714325,0,0,0,-0.5240639,-0.6322695,0,0,0,0,0,0,0,0,-0.6846033,-0.9720907,0,0,0,0,-0.5521307,0,0,0,0,-1.038989,0,-0.6905639,0,-0.7304178,-0.5526316,0,0,0,0,-0.6965174,0,0,0,0,0,722.2222,0,0,0,0,0,0,0,0,0,0.3925782,0,0,0,0,0.3489584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.66389,0,0,0,0,0,0,0,0,0,0,0,0,-0.9700367,1.99327,0,0,0,-0.5312567,0,0,0
cause19,0.4482781,-1.276552,-0.9919872,-0.9901157,-0.785301,-0.9944127,-0.9774248,-1.172939,-0.6564006,-0.7028986,0,0,0,-0.7816092,-0.5240639,-0.6322695,-0.53125,-1.139263,-1.305048,-0.7874396,-0.804969,-0.6806068,-0.7387198,-0.6964749,-0.6846033,-1.181331,0,0,0,0,-0.4339489,0,0,0,0,0,0,-0.6905639,0,-0.6383213,-0.5526316,0,-0.6945453,-1.03382,0,-0.6965174,1.395663,0,923.9131,0,0,0,0,0,0,0,0,-0.3125261,7.456522,0,0,0,0,0,0,0,0,0,0,-0.8532099,-0.3134701,-0.5743669,0,1.052948,1.781003,0.6561095,0,0,0,1.473694,0,0,0,0,0,0,0,-0.6798892,0,0,0,0,0,-0.7406514,22.11959,0,0,3.370314,0,0,0,3.407031,0,0,0,0,0,0,0,0,0,0,0,0,0,423.913,0,0,0,0,0,0,0,0,-0.4277801,0,0,0,0,-0.7734035,0,0
cause20,-0.9248261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,2.974159,0,0,0,0,0,0,0,1.364689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737272,0,0,-3.100926,-2.625441,0,0,0,0,-2.66906,0,0,0,1.531344,0.830734,0,-1.047256,-1.382472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8839532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cause21,0,-1.270762,-0.9131516,-0.9592879,-0.8268082,-1.006827,-0.9889054,-1.304411,-0.7612039,-0.7028986,-0.714325,0,0,-0.5200707,0,0,0,-1.360702,-1.472775,-1.029914,-0.8152888,-0.715295,-0.7540187,-0.6503986,-0.6846033,0,-1.024802,0,-0.5421651,0,0,0,0,0,0,0,0,0,-0.8091909,-0.5674782,-0.5526316,0,-0.493235,-1.09081,0,-0.6965174,1.288828,0,0,0,0,0,0,0,68.63462,0,0,-0.262728,35.80769,0,0,0.3925782,0,0,-0.7780382,0,0.3489584,0,0,-1.021317,0,0,0,0,0,2.778183,0,0,0,0,0,8.505815,12.25061,0,0,0,0,0,0,0,0,0,0,-0.6030465,0,0,0,0,0,0,0,1.420423,0,0,0,0,0,0,3.753751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6812988,0,0
