gs_text34,iso3,weight,age,sex
Sepsis,ZWE,0.00053907,5,0
Violent Death,ZWE,0.00004799,5,0
AIDS,ZWE,0.49836975,5,1
Bite of Venomous Animal,ZWE,0.00014822,5,1
Diarrhea/Dysentery,ZWE,0.03070388,5,1
Drowning,ZWE,0.0023363,5,1
Encephalitis,ZWE,0.00184953,5,1
Falls,ZWE,0.00117394,5,1
Fires,ZWE,0.0005711,5,1
Hemorrhagic fever,ZWE,0.00005604,5,1
Malaria,ZWE,0.15893276,5,1
Measles,ZWE,0.00729283,5,1
Meningitis,ZWE,0.01249941,5,1
Other Cancers,ZWE,0.01743969,5,1
Other Cardiovascular Diseases,ZWE,0.04858171,5,1
Other Defined Causes of Child Deaths,ZWE,0.07361529,5,1
Other Digestive Diseases,ZWE,0.00573915,5,1
Other Infectious Diseases,ZWE,0.09740317,5,1
Pneumonia,ZWE,0.03524258,5,1
Poisonings,ZWE,0.00284796,5,1
Road Traffic,ZWE,0.00426801,5,1
Sepsis,ZWE,0.00088074,5,1
Violent Death,ZWE,0.00004795,5,1
AIDS,ZMB,0.16515508,1,0
Bite of Venomous Animal,ZMB,0.0000318,1,0
Diarrhea/Dysentery,ZMB,0.08264719,1,0
Drowning,ZMB,0.00177271,1,0
Encephalitis,ZMB,0.00300955,1,0
Falls,ZMB,0.00405129,1,0
Fires,ZMB,0.00128228,1,0
Hemorrhagic fever,ZMB,0.00010192,1,0
Malaria,ZMB,0.38755985,1,0
Measles,ZMB,0.00308575,1,0
Meningitis,ZMB,0.03521792,1,0
Other Cancers,ZMB,0.00392627,1,0
Other Cardiovascular Diseases,ZMB,0.00707695,1,0
Other Defined Causes of Child Deaths,ZMB,0.1251441,1,0
Other Digestive Diseases,ZMB,0.00630787,1,0
Other Infectious Diseases,ZMB,0.09145114,1,0
Pneumonia,ZMB,0.06799472,1,0
Poisonings,ZMB,0.00994767,1,0
Road Traffic,ZMB,0.00125614,1,0
Sepsis,ZMB,0.0029384,1,0
Violent Death,ZMB,0.00004141,1,0
AIDS,ZMB,0.18138755,1,1
Bite of Venomous Animal,ZMB,0.00006763,1,1
Diarrhea/Dysentery,ZMB,0.09034683,1,1
Drowning,ZMB,0.00072303,1,1
Encephalitis,ZMB,0.00260008,1,1
Falls,ZMB,0.00178072,1,1
Fires,ZMB,0.00076811,1,1
Hemorrhagic fever,ZMB,0.0000761,1,1
Malaria,ZMB,0.39575093,1,1
Measles,ZMB,0.0035109,1,1
Meningitis,ZMB,0.03042607,1,1
Other Cancers,ZMB,0.0035616,1,1
Other Cardiovascular Diseases,ZMB,0.00742347,1,1
Other Defined Causes of Child Deaths,ZMB,0.11483819,1,1
Other Digestive Diseases,ZMB,0.00503948,1,1
