gs_text34,iso3,weight,age,sex
Malaria,RUS,0,5,0
Measles,RUS,0.00003574,5,0
Meningitis,RUS,0.00435552,5,0
Other Cancers,RUS,0.30545196,5,0
Other Cardiovascular Diseases,RUS,0.05171828,5,0
Other Defined Causes of Child Deaths,RUS,0.39047034,5,0
Other Digestive Diseases,RUS,0.01198236,5,0
Other Infectious Diseases,RUS,0.03134631,5,0
Pneumonia,RUS,0.04665187,5,0
Poisonings,RUS,0.03743721,5,0
Road Traffic,RUS,0.03088494,5,0
Sepsis,RUS,0.00025524,5,0
Violent Death,RUS,0.0006065,5,0
AIDS,RUS,0.04043926,5,1
Bite of Venomous Animal,RUS,0.00004788,5,1
Diarrhea/Dysentery,RUS,0.00937829,5,1
Drowning,RUS,0.01195945,5,1
Encephalitis,RUS,0.00423411,5,1
Falls,RUS,0.00911239,5,1
Fires,RUS,0.00219701,5,1
Hemorrhagic fever,RUS,0.00171772,5,1
Malaria,RUS,0,5,1
Measles,RUS,0.00006067,5,1
Meningitis,RUS,0.00468097,5,1
Other Cancers,RUS,0.34629481,5,1
Other Cardiovascular Diseases,RUS,0.05171719,5,1
Other Defined Causes of Child Deaths,RUS,0.35666009,5,1
Other Digestive Diseases,RUS,0.01027985,5,1
Other Infectious Diseases,RUS,0.02857245,5,1
Pneumonia,RUS,0.05637605,5,1
Poisonings,RUS,0.04106669,5,1
Road Traffic,RUS,0.02402114,5,1
Sepsis,RUS,0.00042305,5,1
Violent Death,RUS,0.00076092,5,1
AIDS,ROU,0.00913922,1,0
Bite of Venomous Animal,ROU,0.00005498,1,0
Diarrhea/Dysentery,ROU,0.01313591,1,0
Drowning,ROU,0.0072211,1,0
Encephalitis,ROU,0.00524708,1,0
Falls,ROU,0.01559307,1,0
Fires,ROU,0.00173918,1,0
Hemorrhagic fever,ROU,0.00227808,1,0
Malaria,ROU,0,1,0
Measles,ROU,0.00028609,1,0
Meningitis,ROU,0.02453995,1,0
Other Cancers,ROU,0.27263503,1,0
Other Cardiovascular Diseases,ROU,0.05025576,1,0
Other Defined Causes of Child Deaths,ROU,0.29047158,1,0
Other Digestive Diseases,ROU,0.02254795,1,0
Other Infectious Diseases,ROU,0.04412299,1,0
Pneumonia,ROU,0.19695636,1,0
Poisonings,ROU,0.0332377,1,0
Road Traffic,ROU,0.00955389,1,0
Sepsis,ROU,0.00079083,1,0
Violent Death,ROU,0.00019325,1,0
AIDS,ROU,0.01140357,1,1
Bite of Venomous Animal,ROU,0.00002576,1,1
Diarrhea/Dysentery,ROU,0.01246106,1,1
Drowning,ROU,0.00482722,1,1
Encephalitis,ROU,0.00456242,1,1
Falls,ROU,0.01254018,1,1
Fires,ROU,0.00197216,1,1
Hemorrhagic fever,ROU,0.00340549,1,1
Malaria,ROU,0,1,1
Measles,ROU,0.00068176,1,1
Meningitis,ROU,0.02133776,1,1
Other Cancers,ROU,0.22864634,1,1
Other Cardiovascular Diseases,ROU,0.06312137,1,1
Other Defined Causes of Child Deaths,ROU,0.30779591,1,1
Other Digestive Diseases,ROU,0.01848333,1,1
Other Infectious Diseases,ROU,0.04985859,1,1
Pneumonia,ROU,0.21137876,1,1
Poisonings,ROU,0.03874156,1,1
Road Traffic,ROU,0.0078847,1,1
Sepsis,ROU,0.00065456,1,1
Violent Death,ROU,0.00021749,1,1
AIDS,ROU,0.01185927,10,0
Bite of Venomous Animal,ROU,0.0000705,10,0
Diarrhea/Dysentery,ROU,0.00142862,10,0
Drowning,ROU,0.02008761,10,0
Encephalitis,ROU,0.0035837,10,0
Falls,ROU,0.00991464,10,0
Fires,ROU,0.00054152,10,0
Hemorrhagic fever,ROU,0.00157986,10,0
Malaria,ROU,0,10,0
Measles,ROU,0.00019627,10,0
Meningitis,ROU,0.00873732,10,0
Other Cancers,ROU,0.34260924,10,0
Other Cardiovascular Diseases,ROU,0.11849383,10,0
Other Defined Causes of Child Deaths,ROU,0.32397409,10,0
Other Digestive Diseases,ROU,0.01384876,10,0
Other Infectious Diseases,ROU,0.03320188,10,0
Pneumonia,ROU,0.0744096,10,0
Poisonings,ROU,0.01449862,10,0
Road Traffic,ROU,0.01928921,10,0
Sepsis,ROU,0.00140308,10,0
Violent Death,ROU,0.00027236,10,0
AIDS,ROU,0.0174633,10,1
Bite of Venomous Animal,ROU,0.0000319,10,1
Diarrhea/Dysentery,ROU,0.00132869,10,1
Drowning,ROU,0.00952194,10,1
Encephalitis,ROU,0.00360717,10,1
Falls,ROU,0.00721168,10,1
Fires,ROU,0.00050675,10,1
Hemorrhagic fever,ROU,0.00238897,10,1
Malaria,ROU,0,10,1
Measles,ROU,0.00035787,10,1
Meningitis,ROU,0.00879467,10,1
Other Cancers,ROU,0.36885437,10,1
Other Cardiovascular Diseases,ROU,0.12038264,10,1
Other Defined Causes of Child Deaths,ROU,0.27236747,10,1
Other Digestive Diseases,ROU,0.00921719,10,1
Other Infectious Diseases,ROU,0.0368344,10,1
Pneumonia,ROU,0.10265336,10,1
Poisonings,ROU,0.01669252,10,1
Road Traffic,ROU,0.01861309,10,1
Sepsis,ROU,0.00304076,10,1
Violent Death,ROU,0.00013124,10,1
AIDS,ROU,0.00080758,0,0
Bite of Venomous Animal,ROU,7.84E-06,0,0
Diarrhea/Dysentery,ROU,0.03782773,0,0
Drowning,ROU,0.00030261,0,0
Encephalitis,ROU,0.00342209,0,0
Falls,ROU,0.00217506,0,0
Fires,ROU,0.000175,0,0
Hemorrhagic fever,ROU,0.00068401,0,0
Malaria,ROU,0,0,0
Measles,ROU,0.00019402,0,0
Meningitis,ROU,0.01741228,0,0
Other Cancers,ROU,0.01177668,0,0
Other Cardiovascular Diseases,ROU,0.03930073,0,0
Other Defined Causes of Child Deaths,ROU,0.31519041,0,0
Other Digestive Diseases,ROU,0,0,0
Other Infectious Diseases,ROU,0.05249875,0,0
Pneumonia,ROU,0.51374632,0,0
Poisonings,ROU,0.00301501,0,0
Road Traffic,ROU,0.00090328,0,0
Sepsis,ROU,0.00050587,0,0
Violent Death,ROU,0.00005474,0,0
AIDS,ROU,0.00092058,0,1
Bite of Venomous Animal,ROU,3.53E-06,0,1
Diarrhea/Dysentery,ROU,0.0425269,0,1
Drowning,ROU,0.00017749,0,1
Encephalitis,ROU,0.00316042,0,1
Falls,ROU,0.00152311,0,1
Fires,ROU,0.00024687,0,1
Hemorrhagic fever,ROU,0.0007991,0,1
Malaria,ROU,0,0,1
Measles,ROU,0.00022664,0,1
Meningitis,ROU,0.016081,0,1
Other Cancers,ROU,0.01424392,0,1
Other Cardiovascular Diseases,ROU,0.03134041,0,1
Other Defined Causes of Child Deaths,ROU,0.3121449,0,1
Other Digestive Diseases,ROU,0,0,1
Other Infectious Diseases,ROU,0.05623191,0,1
Pneumonia,ROU,0.51578225,0,1
Poisonings,ROU,0.00294926,0,1
Road Traffic,ROU,0.00071037,0,1
Sepsis,ROU,0.00090117,0,1
Violent Death,ROU,0.00003016,0,1
AIDS,ROU,0.01119312,5,0
Bite of Venomous Animal,ROU,0.00010527,5,0
Diarrhea/Dysentery,ROU,0.00180415,5,0
Drowning,ROU,0.01706662,5,0
Encephalitis,ROU,0.00378252,5,0
Falls,ROU,0.01243461,5,0
Fires,ROU,0.00060277,5,0
Hemorrhagic fever,ROU,0.00261641,5,0
Malaria,ROU,0,5,0
Measles,ROU,0.00057231,5,0
Meningitis,ROU,0.01269743,5,0
Other Cancers,ROU,0.41012521,5,0
Other Cardiovascular Diseases,ROU,0.05377731,5,0
Other Defined Causes of Child Deaths,ROU,0.26706234,5,0
Other Digestive Diseases,ROU,0.01785161,5,0
Other Infectious Diseases,ROU,0.03584718,5,0
Pneumonia,ROU,0.1110455,5,0
Poisonings,ROU,0.01428558,5,0
Road Traffic,ROU,0.02611128,5,0
Sepsis,ROU,0.00078813,5,0
Violent Death,ROU,0.00023066,5,0
AIDS,ROU,0.01393939,5,1
Bite of Venomous Animal,ROU,0.00007115,5,1
Diarrhea/Dysentery,ROU,0.00267807,5,1
Drowning,ROU,0.00562467,5,1
Encephalitis,ROU,0.00413808,5,1
Falls,ROU,0.00625184,5,1
Fires,ROU,0.00129789,5,1
Hemorrhagic fever,ROU,0.0046596,5,1
Malaria,ROU,0,5,1
Measles,ROU,0.0005526,5,1
Meningitis,ROU,0.01389125,5,1
Other Cancers,ROU,0.39257886,5,1
Other Cardiovascular Diseases,ROU,0.07466221,5,1
Other Defined Causes of Child Deaths,ROU,0.25075044,5,1
Other Digestive Diseases,ROU,0.01225933,5,1
Other Infectious Diseases,ROU,0.03912768,5,1
Pneumonia,ROU,0.13383487,5,1
Poisonings,ROU,0.0193065,5,1
Road Traffic,ROU,0.02216049,5,1
Sepsis,ROU,0.00198912,5,1
Violent Death,ROU,0.00022597,5,1
AIDS,QAT,0.01117806,1,0
Bite of Venomous Animal,QAT,0.00002557,1,0
Diarrhea/Dysentery,QAT,0.00518054,1,0
Drowning,QAT,0.00968399,1,0
Encephalitis,QAT,0.00376091,1,0
Falls,QAT,0.01733914,1,0
Fires,QAT,0.00093897,1,0
Hemorrhagic fever,QAT,0.00764817,1,0
Malaria,QAT,0,1,0
Measles,QAT,0.00122561,1,0
Meningitis,QAT,0.00853604,1,0
Other Cancers,QAT,0.09454483,1,0
Other Cardiovascular Diseases,QAT,0.13181839,1,0
Other Defined Causes of Child Deaths,QAT,0.49945232,1,0
Other Digestive Diseases,QAT,0.01377983,1,0
Other Infectious Diseases,QAT,0.13576709,1,0
Pneumonia,QAT,0.02285036,1,0
Poisonings,QAT,0.01010603,1,0
Road Traffic,QAT,0.02222779,1,0
Sepsis,QAT,0.00374145,1,0
Violent Death,QAT,0.0001949,1,0
AIDS,QAT,0.01030704,1,1
Bite of Venomous Animal,QAT,0.00002083,1,1
Diarrhea/Dysentery,QAT,0.01122738,1,1
Drowning,QAT,0.00319963,1,1
Encephalitis,QAT,0.00439447,1,1
Falls,QAT,0.00553894,1,1
Fires,QAT,0.00069481,1,1
Hemorrhagic fever,QAT,0.00876312,1,1
Malaria,QAT,0,1,1
Measles,QAT,0.00116845,1,1
Meningitis,QAT,0.00997382,1,1
Other Cancers,QAT,0.11298105,1,1
Other Cardiovascular Diseases,QAT,0.09610719,1,1
Other Defined Causes of Child Deaths,QAT,0.53550473,1,1
Other Digestive Diseases,QAT,0.02937547,1,1
Other Infectious Diseases,QAT,0.11811397,1,1
Pneumonia,QAT,0.0204999,1,1
Poisonings,QAT,0.00574929,1,1
Road Traffic,QAT,0.01455569,1,1
Sepsis,QAT,0.01170712,1,1
Violent Death,QAT,0.00011709,1,1
AIDS,QAT,0.00634455,10,0
Bite of Venomous Animal,QAT,0.00004182,10,0
Diarrhea/Dysentery,QAT,0.00479721,10,0
Drowning,QAT,0.00729332,10,0
Encephalitis,QAT,0.00238296,10,0
Falls,QAT,0.01250735,10,0
Fires,QAT,0.00057916,10,0
Hemorrhagic fever,QAT,0.00626236,10,0
Malaria,QAT,0,10,0
Measles,QAT,0.00012653,10,0
Meningitis,QAT,0.00680342,10,0
Other Cancers,QAT,0.22508107,10,0
Other Cardiovascular Diseases,QAT,0.09721889,10,0
Other Defined Causes of Child Deaths,QAT,0.39261528,10,0
Other Digestive Diseases,QAT,0.01134127,10,0
Other Infectious Diseases,QAT,0.15736252,10,0
Pneumonia,QAT,0.01931307,10,0
Poisonings,QAT,0.01054042,10,0
Road Traffic,QAT,0.03739615,10,0
Sepsis,QAT,0.00173658,10,0
Violent Death,QAT,0.00025605,10,0
AIDS,QAT,0.00683129,10,1
Bite of Venomous Animal,QAT,0.00002381,10,1
Diarrhea/Dysentery,QAT,0.00432718,10,1
Drowning,QAT,0.00157598,10,1
Encephalitis,QAT,0.00343908,10,1
Falls,QAT,0.00398995,10,1
Fires,QAT,0.00087553,10,1
Hemorrhagic fever,QAT,0.00751484,10,1
Malaria,QAT,0,10,1
Measles,QAT,0.00015493,10,1
Meningitis,QAT,0.00981842,10,1
Other Cancers,QAT,0.24721518,10,1
Other Cardiovascular Diseases,QAT,0.07436859,10,1
Other Defined Causes of Child Deaths,QAT,0.41860735,10,1
Other Digestive Diseases,QAT,0.01618303,10,1
Other Infectious Diseases,QAT,0.1487201,10,1
Pneumonia,QAT,0.02202495,10,1
Poisonings,QAT,0.00543184,10,1
Road Traffic,QAT,0.01587386,10,1
Sepsis,QAT,0.01279075,10,1
Violent Death,QAT,0.00023334,10,1
AIDS,QAT,0.00160353,0,0
Bite of Venomous Animal,QAT,3.75E-06,0,0
Diarrhea/Dysentery,QAT,0.01299858,0,0
Drowning,QAT,0.00035936,0,0
Encephalitis,QAT,0.00280961,0,0
Falls,QAT,0.00368888,0,0
Fires,QAT,0.00019106,0,0
Hemorrhagic fever,QAT,0.00337306,0,0
Malaria,QAT,0,0,0
Measles,QAT,0.00030964,0,0
Meningitis,QAT,0.00620754,0,0
Other Cancers,QAT,0.0370424,0,0
Other Cardiovascular Diseases,QAT,0.09009699,0,0
Other Defined Causes of Child Deaths,QAT,0.73924705,0,0
Other Digestive Diseases,QAT,0,0,0
Other Infectious Diseases,QAT,0.0540563,0,0
Pneumonia,QAT,0.03343109,0,0
Poisonings,QAT,0.00142965,0,0
Road Traffic,QAT,0.00494445,0,0
Sepsis,QAT,0.00805406,0,0
Violent Death,QAT,0.00015301,0,0
AIDS,QAT,0.00147675,0,1
Bite of Venomous Animal,QAT,2.10E-06,0,1
Diarrhea/Dysentery,QAT,0.01757871,0,1
Drowning,QAT,0.00018235,0,1
Encephalitis,QAT,0.00435753,0,1
Falls,QAT,0.00140765,0,1
Fires,QAT,0.00017364,0,1
Hemorrhagic fever,QAT,0.00525998,0,1
Malaria,QAT,0,0,1
Measles,QAT,0.0002657,0,1
Meningitis,QAT,0.00962748,0,1
Other Cancers,QAT,0.03262313,0,1
Other Cardiovascular Diseases,QAT,0.11473995,0,1
Other Defined Causes of Child Deaths,QAT,0.70498982,0,1
Other Digestive Diseases,QAT,0,0,1
Other Infectious Diseases,QAT,0.06464282,0,1
Pneumonia,QAT,0.03027575,0,1
Poisonings,QAT,0.00161026,0,1
Road Traffic,QAT,0.00383546,0,1
Sepsis,QAT,0.00678298,0,1
Violent Death,QAT,0.00016796,0,1
AIDS,QAT,0.00523652,5,0
Bite of Venomous Animal,QAT,0.00003035,5,0
Diarrhea/Dysentery,QAT,0.00744991,5,0
Drowning,QAT,0.00530233,5,0
Encephalitis,QAT,0.00305839,5,0
Falls,QAT,0.00943718,5,0
Fires,QAT,0.00044249,5,0
Hemorrhagic fever,QAT,0.00939859,5,0
Malaria,QAT,0,5,0
Measles,QAT,0.00033638,5,0
Meningitis,QAT,0.00775255,5,0
Other Cancers,QAT,0.21764068,5,0
Other Cardiovascular Diseases,QAT,0.13103563,5,0
Other Defined Causes of Child Deaths,QAT,0.37710105,5,0
Other Digestive Diseases,QAT,0.00892374,5,0
Other Infectious Diseases,QAT,0.1491882,5,0
Pneumonia,QAT,0.02503747,5,0
Poisonings,QAT,0.01178774,5,0
Road Traffic,QAT,0.02781362,5,0
Sepsis,QAT,0.00287398,5,0
Violent Death,QAT,0.00015322,5,0
AIDS,QAT,0.00550623,5,1
Bite of Venomous Animal,QAT,0.00002527,5,1
Diarrhea/Dysentery,QAT,0.00821339,5,1
Drowning,QAT,0.00182657,5,1
Encephalitis,QAT,0.00325442,5,1
Falls,QAT,0.0046986,5,1
Fires,QAT,0.00047092,5,1
Hemorrhagic fever,QAT,0.0090731,5,1
Malaria,QAT,0,5,1
Measles,QAT,0.00038759,5,1
Meningitis,QAT,0.00824934,5,1
Other Cancers,QAT,0.22702435,5,1
Other Cardiovascular Diseases,QAT,0.08865375,5,1
Other Defined Causes of Child Deaths,QAT,0.43083813,5,1
Other Digestive Diseases,QAT,0.01853393,5,1
Other Infectious Diseases,QAT,0.1423022,5,1
Pneumonia,QAT,0.02270661,5,1
Poisonings,QAT,0.00518757,5,1
Road Traffic,QAT,0.01279614,5,1
Sepsis,QAT,0.01009193,5,1
Violent Death,QAT,0.00015997,5,1
AIDS,PSE,0.0003265,1,0
Bite of Venomous Animal,PSE,0.00004242,1,0
Diarrhea/Dysentery,PSE,0.01326752,1,0
Drowning,PSE,0.00297907,1,0
Encephalitis,PSE,0.00510527,1,0
Falls,PSE,0.01314237,1,0
Fires,PSE,0.00126681,1,0
Hemorrhagic fever,PSE,0.00098898,1,0
Malaria,PSE,0,1,0
Measles,PSE,0.00410019,1,0
Meningitis,PSE,0.01158716,1,0
Other Cancers,PSE,0.13686465,1,0
Other Cardiovascular Diseases,PSE,0.13182247,1,0
Other Defined Causes of Child Deaths,PSE,0.43942991,1,0
Other Digestive Diseases,PSE,0.0136096,1,0
Other Infectious Diseases,PSE,0.09286165,1,0
Pneumonia,PSE,0.09261882,1,0
Poisonings,PSE,0.0132649,1,0
Road Traffic,PSE,0.02534637,1,0
Sepsis,PSE,0.00102397,1,0
Violent Death,PSE,0.00035136,1,0
AIDS,PSE,0.00033911,1,1
Bite of Venomous Animal,PSE,0.00004525,1,1
Diarrhea/Dysentery,PSE,0.01163708,1,1
Drowning,PSE,0.00307558,1,1
Encephalitis,PSE,0.00421844,1,1
Falls,PSE,0.01126125,1,1
Fires,PSE,0.00104247,1,1
Hemorrhagic fever,PSE,0.00022354,1,1
Malaria,PSE,0,1,1
Measles,PSE,0.00439641,1,1
Meningitis,PSE,0.00957445,1,1
Other Cancers,PSE,0.09121359,1,1
Other Cardiovascular Diseases,PSE,0.15894625,1,1
Other Defined Causes of Child Deaths,PSE,0.4366361,1,1
Other Digestive Diseases,PSE,0.012897,1,1
Other Infectious Diseases,PSE,0.11965741,1,1
Pneumonia,PSE,0.10772451,1,1
Poisonings,PSE,0.00928308,1,1
Road Traffic,PSE,0.01607685,1,1
Sepsis,PSE,0.00132222,1,1
Violent Death,PSE,0.00042941,1,1
AIDS,PSE,0.00017624,10,0
Bite of Venomous Animal,PSE,0.00005922,10,0
Diarrhea/Dysentery,PSE,0.00397488,10,0
Drowning,PSE,0.00332595,10,0
Encephalitis,PSE,0.00330115,10,0
Falls,PSE,0.00749529,10,0
Fires,PSE,0.00059868,10,0
Hemorrhagic fever,PSE,0.00050375,10,0
Malaria,PSE,0,10,0
Measles,PSE,0.00039804,10,0
Meningitis,PSE,0.00942468,10,0
Other Cancers,PSE,0.24791786,10,0
Other Cardiovascular Diseases,PSE,0.24814146,10,0
Other Defined Causes of Child Deaths,PSE,0.26654823,10,0
Other Digestive Diseases,PSE,0.01182541,10,0
Other Infectious Diseases,PSE,0.09660544,10,0
Pneumonia,PSE,0.0749196,10,0
Poisonings,PSE,0.00776983,10,0
Road Traffic,PSE,0.01551872,10,0
Sepsis,PSE,0.00056978,10,0
Violent Death,PSE,0.0009258,10,0
AIDS,PSE,0.00018582,10,1
Bite of Venomous Animal,PSE,0.00006262,10,1
Diarrhea/Dysentery,PSE,0.02484969,10,1
Drowning,PSE,0.00177725,10,1
Encephalitis,PSE,0.00383731,10,1
Falls,PSE,0.00615141,10,1
Fires,PSE,0.00051022,10,1
Hemorrhagic fever,PSE,0.00020248,10,1
Malaria,PSE,0,10,1
Measles,PSE,0.00047656,10,1
Meningitis,PSE,0.0109555,10,1
Other Cancers,PSE,0.24313269,10,1
Other Cardiovascular Diseases,PSE,0.18146961,10,1
Other Defined Causes of Child Deaths,PSE,0.30804664,10,1
Other Digestive Diseases,PSE,0.01491954,10,1
Other Infectious Diseases,PSE,0.12468684,10,1
Pneumonia,PSE,0.06325192,10,1
Poisonings,PSE,0.00692136,10,1
Road Traffic,PSE,0.00570145,10,1
Sepsis,PSE,0.00254646,10,1
Violent Death,PSE,0.00031463,10,1
AIDS,PSE,0.00004073,0,0
Bite of Venomous Animal,PSE,5.97E-06,0,0
Diarrhea/Dysentery,PSE,0.01339296,0,0
Drowning,PSE,0.00034727,0,0
Encephalitis,PSE,0.00354862,0,0
Falls,PSE,0.00281924,0,0
Fires,PSE,0.00022255,0,0
Hemorrhagic fever,PSE,0.00026931,0,0
Malaria,PSE,0,0,0
Measles,PSE,0.00089164,0,0
Meningitis,PSE,0.0078402,0,0
Other Cancers,PSE,0.03152814,0,0
Other Cardiovascular Diseases,PSE,0.10810637,0,0
Other Defined Causes of Child Deaths,PSE,0.69400301,0,0
Other Digestive Diseases,PSE,0,0,0
Other Infectious Diseases,PSE,0.03796869,0,0
Pneumonia,PSE,0.0945503,0,0
Poisonings,PSE,0.0017447,0,0
Road Traffic,PSE,0.0013045,0,0
Sepsis,PSE,0.00131,0,0
Violent Death,PSE,0.00010582,0,0
AIDS,PSE,0.00003948,0,1
Bite of Venomous Animal,PSE,4.96E-06,0,1
Diarrhea/Dysentery,PSE,0.01517164,0,1
Drowning,PSE,0.00035996,0,1
Encephalitis,PSE,0.00351819,0,1
Falls,PSE,0.00175751,0,1
Fires,PSE,0.00020287,0,1
Hemorrhagic fever,PSE,0.00008271,0,1
Malaria,PSE,0,0,1
Measles,PSE,0.00080684,0,1
Meningitis,PSE,0.00777316,0,1
Other Cancers,PSE,0.02439981,0,1
Other Cardiovascular Diseases,PSE,0.10379392,0,1
Other Defined Causes of Child Deaths,PSE,0.68757818,0,1
Other Digestive Diseases,PSE,0,0,1
Other Infectious Diseases,PSE,0.05366171,0,1
Pneumonia,PSE,0.09590183,0,1
Poisonings,PSE,0.00202887,0,1
Road Traffic,PSE,0.0015566,0,1
Sepsis,PSE,0.001281,0,1
Violent Death,PSE,0.00008075,0,1
AIDS,PSE,0.00021599,5,0
Bite of Venomous Animal,PSE,0.00006072,5,0
Diarrhea/Dysentery,PSE,0.00762033,5,0
Drowning,PSE,0.00446213,5,0
Encephalitis,PSE,0.00600933,5,0
Falls,PSE,0.01906748,5,0
Fires,PSE,0.00084578,5,0
Hemorrhagic fever,PSE,0.00146589,5,0
Malaria,PSE,0,5,0
Measles,PSE,0.00157558,5,0
Meningitis,PSE,0.01523267,5,0
Other Cancers,PSE,0.25712203,5,0
Other Cardiovascular Diseases,PSE,0.11665122,5,0
Other Defined Causes of Child Deaths,PSE,0.2676275,5,0
Other Digestive Diseases,PSE,0.01153964,5,0
Other Infectious Diseases,PSE,0.1344251,5,0
Pneumonia,PSE,0.11489747,5,0
Poisonings,PSE,0.00971279,5,0
Road Traffic,PSE,0.02975119,5,0
Sepsis,PSE,0.00112653,5,0
Violent Death,PSE,0.00059062,5,0
AIDS,PSE,0.00020436,5,1
Bite of Venomous Animal,PSE,0.00006422,5,1
Diarrhea/Dysentery,PSE,0.04189501,5,1
Drowning,PSE,0.00221345,5,1
Encephalitis,PSE,0.00483507,5,1
Falls,PSE,0.01093295,5,1
Fires,PSE,0.00066026,5,1
Hemorrhagic fever,PSE,0.00029542,5,1
Malaria,PSE,0,5,1
Measles,PSE,0.0016338,5,1
Meningitis,PSE,0.01225609,5,1
Other Cancers,PSE,0.20337995,5,1
Other Cardiovascular Diseases,PSE,0.12342042,5,1
Other Defined Causes of Child Deaths,PSE,0.31795025,5,1
Other Digestive Diseases,PSE,0.0102636,5,1
Other Infectious Diseases,PSE,0.12969052,5,1
Pneumonia,PSE,0.12007719,5,1
Poisonings,PSE,0.00896344,5,1
Road Traffic,PSE,0.00884891,5,1
Sepsis,PSE,0.00217802,5,1
Violent Death,PSE,0.00023707,5,1
AIDS,PRY,0.02490069,1,0
Bite of Venomous Animal,PRY,0.00007866,1,0
Diarrhea/Dysentery,PRY,0.13166597,1,0
Drowning,PRY,0.00514323,1,0
Encephalitis,PRY,0.00713108,1,0
Falls,PRY,0.00405617,1,0
Fires,PRY,0.00101739,1,0
Hemorrhagic fever,PRY,0.00014936,1,0
Malaria,PRY,0.00002648,1,0
Measles,PRY,0.00110709,1,0
Meningitis,PRY,0.03125346,1,0
Other Cancers,PRY,0.11511333,1,0
Other Cardiovascular Diseases,PRY,0.06580532,1,0
Other Defined Causes of Child Deaths,PRY,0.29084697,1,0
Other Digestive Diseases,PRY,0.01710477,1,0
Other Infectious Diseases,PRY,0.14213142,1,0
Pneumonia,PRY,0.15018339,1,0
Poisonings,PRY,0.00282316,1,0
Road Traffic,PRY,0.00662839,1,0
Sepsis,PRY,0.0026112,1,0
Violent Death,PRY,0.00022248,1,0
AIDS,PRY,0.02657187,1,1
Bite of Venomous Animal,PRY,0.00005529,1,1
Diarrhea/Dysentery,PRY,0.14696998,1,1
Drowning,PRY,0.00320172,1,1
Encephalitis,PRY,0.00489423,1,1
Falls,PRY,0.0031724,1,1
Fires,PRY,0.00075698,1,1
Hemorrhagic fever,PRY,0.00027906,1,1
Malaria,PRY,0.0000265,1,1
Measles,PRY,0.00148023,1,1
Meningitis,PRY,0.02145015,1,1
Other Cancers,PRY,0.1422976,1,1
Other Cardiovascular Diseases,PRY,0.05178969,1,1
Other Defined Causes of Child Deaths,PRY,0.27437576,1,1
Other Digestive Diseases,PRY,0.0188542,1,1
Other Infectious Diseases,PRY,0.13937907,1,1
Pneumonia,PRY,0.15431753,1,1
Poisonings,PRY,0.00219478,1,1
Road Traffic,PRY,0.0045222,1,1
Sepsis,PRY,0.00319776,1,1
Violent Death,PRY,0.000213,1,1
AIDS,PRY,0.00683948,10,0
Bite of Venomous Animal,PRY,0.00016061,10,0
Diarrhea/Dysentery,PRY,0.015302,10,0
Drowning,PRY,0.01162009,10,0
Encephalitis,PRY,0.00631412,10,0
Falls,PRY,0.00508943,10,0
Fires,PRY,0.00031291,10,0
Hemorrhagic fever,PRY,0.00032562,10,0
Malaria,PRY,0.00002838,10,0
Measles,PRY,0.00028517,10,0
Meningitis,PRY,0.02027747,10,0
Other Cancers,PRY,0.26412151,10,0
Other Cardiovascular Diseases,PRY,0.1299692,10,0
Other Defined Causes of Child Deaths,PRY,0.3335547,10,0
Other Digestive Diseases,PRY,0.01707508,10,0
Other Infectious Diseases,PRY,0.0881782,10,0
Pneumonia,PRY,0.06884062,10,0
Poisonings,PRY,0.00366069,10,0
Road Traffic,PRY,0.02490221,10,0
Sepsis,PRY,0.00203424,10,0
Violent Death,PRY,0.00110826,10,0
AIDS,PRY,0.00868377,10,1
Bite of Venomous Animal,PRY,0.0000878,10,1
Diarrhea/Dysentery,PRY,0.02266358,10,1
Drowning,PRY,0.00358838,10,1
Encephalitis,PRY,0.00710247,10,1
Falls,PRY,0.00258575,10,1
Fires,PRY,0.00031278,10,1
Hemorrhagic fever,PRY,0.00026622,10,1
Malaria,PRY,0.00002426,10,1
Measles,PRY,0.0003923,10,1
Meningitis,PRY,0.02280941,10,1
Other Cancers,PRY,0.26777066,10,1
Other Cardiovascular Diseases,PRY,0.13396698,10,1
Other Defined Causes of Child Deaths,PRY,0.33982817,10,1
Other Digestive Diseases,PRY,0.02193073,10,1
Other Infectious Diseases,PRY,0.07740059,10,1
Pneumonia,PRY,0.071138,10,1
Poisonings,PRY,0.00257672,10,1
Road Traffic,PRY,0.01374475,10,1
Sepsis,PRY,0.0027262,10,1
Violent Death,PRY,0.00040048,10,1
AIDS,PRY,0.00321589,0,0
Bite of Venomous Animal,PRY,9.53E-06,0,0
Diarrhea/Dysentery,PRY,0.15387102,0,0
Drowning,PRY,0.00034983,0,0
Encephalitis,PRY,0.00527914,0,0
Falls,PRY,0.00207146,0,0
Fires,PRY,0.00016959,0,0
Hemorrhagic fever,PRY,0.00006466,0,0
Malaria,PRY,1.35E-05,0,0
Measles,PRY,0.00059161,0,0
Meningitis,PRY,0.02405241,0,0
Other Cancers,PRY,0.01323434,0,0
Other Cardiovascular Diseases,PRY,0.04815235,0,0
Other Defined Causes of Child Deaths,PRY,0.37338476,0,0
Other Digestive Diseases,PRY,0,0,0
Other Infectious Diseases,PRY,0.22065322,0,0
Pneumonia,PRY,0.14917823,0,0
Poisonings,PRY,0.00090708,0,0
Road Traffic,PRY,0.00231931,0,0
Sepsis,PRY,0.00230363,0,0
